Date	Price	Open	High	Low	Change %
Jun 11, 2015	1182.3	1186.11	1188.21	1175.66	-0.35%
Jun 10, 2015	1186.48	1176.25	1192.6	1174.85	0.83%
Jun 09, 2015	1176.7	1173.86	1183.4	1172.25	0.23%
Jun 08, 2015	1173.95	1168.95	1178.1	1168.7	0.17%
Jun 05, 2015	1172	1176.49	1179.35	1162.35	-0.36%
Jun 04, 2015	1176.26	1185.3	1186.41	1172.55	-0.78%
Jun 03, 2015	1185.5	1193.11	1195.81	1179.43	-0.66%
Jun 02, 2015	1193.38	1188.91	1196.12	1185.44	0.36%
Jun 01, 2015	1189.15	1190.5	1204.81	1184.1	-0.11%
May 29, 2015	1190.5	1187.9	1193.81	1186.33	0.17%
May 28, 2015	1188.45	1187.46	1192.75	1180.55	0.03%
May 27, 2015	1188.15	1186.69	1191.55	1183.76	0.07%
May 26, 2015	1187.3	1206.55	1208	1185.35	-1.65%
May 25, 2015	1207.17	1204.75	1208.97	1202.55	0.07%
May 22, 2015	1206.38	1206.25	1215.2	1201.2	-0.01%
May 21, 2015	1206.45	1209.61	1212.95	1201.41	-0.23%
May 20, 2015	1209.28	1207.9	1213.47	1202.91	0.15%
May 19, 2015	1207.51	1225.1	1225.57	1205.39	-1.49%
May 18, 2015	1225.74	1222.8	1232.7	1221	0.15%
May 15, 2015	1223.85	1221.01	1226.75	1210.8	0.19%
May 14, 2015	1221.52	1215.31	1227.44	1211.65	0.48%
May 13, 2015	1215.73	1192.95	1219.3	1190.8	1.86%
May 12, 2015	1193.5	1183.4	1197	1180.65	0.79%
May 11, 2015	1184.2	1188.45	1192.1	1179	-0.33%
May 08, 2015	1188.15	1184.16	1193.61	1181.63	0.28%
May 07, 2015	1184.8	1191.3	1193.3	1178.66	-0.59%
May 06, 2015	1191.8	1192.69	1197.9	1187.8	-0.13%
May 05, 2015	1193.33	1188.06	1200.1	1185.4	0.43%
May 04, 2015	1188.25	1178.5	1193.45	1177.43	0.83%
May 01, 2015	1178.5	1184.16	1185.26	1170.2	-0.50%
Apr 30, 2015	1184.37	1204.66	1207.52	1176.8	-1.70%
Apr 29, 2015	1204.8	1211.6	1213.7	1201.13	-0.60%
Apr 28, 2015	1212.1	1202.25	1215.5	1198.8	0.84%
Apr 27, 2015	1202	1179.31	1207.46	1178.3	1.92%
Apr 24, 2015	1179.38	1193.65	1196.51	1174.73	-1.22%
Apr 23, 2015	1194	1187.16	1198.4	1183.65	0.56%
Apr 22, 2015	1187.3	1202.35	1205.2	1185.33	-1.28%
Apr 21, 2015	1202.68	1196.41	1204.4	1192.9	0.52%
Apr 20, 2015	1196.5	1204.5	1209.4	1191.14	-0.68%
Apr 17, 2015	1204.65	1198.1	1208.1	1196.78	0.58%
Apr 16, 2015	1197.65	1201.95	1209.6	1194.56	-0.37%
Apr 15, 2015	1202.05	1192.46	1205.35	1188.63	0.71%
Apr 14, 2015	1193.58	1198.7	1202.1	1183.68	-0.44%
Apr 13, 2015	1198.85	1206.8	1209.83	1196.23	-0.76%
Apr 10, 2015	1208.05	1193.9	1211.1	1192.9	1.09%
Apr 09, 2015	1195.01	1202.51	1203.76	1192.3	-0.65%
Apr 08, 2015	1202.8	1208.45	1212.6	1197.45	-0.48%
Apr 07, 2015	1208.6	1214.29	1215.91	1207.05	-0.50%
Apr 06, 2015	1214.7	1215.23	1224.5	1213.45	0.31%
Apr 03, 2015	1210.9	1200.99	1212.74	1199.36	0.69%
Apr 02, 2015	1202.59	1204.2	1208.15	1195	-0.13%
Apr 01, 2015	1204.1	1183.25	1209	1180.25	1.74%
Mar 31, 2015	1183.5	1185	1191.2	1178.05	-0.23%
Mar 30, 2015	1186.2	1198.35	1199.5	1182.05	-1.09%
Mar 27, 2015	1199.3	1203.75	1206.7	1192.41	-0.42%
Mar 26, 2015	1204.38	1195.15	1219.8	1194.1	0.75%
Mar 25, 2015	1195.45	1192.7	1199.9	1186.45	0.19%
Mar 24, 2015	1193.13	1188.95	1195.7	1184.85	0.32%
Mar 23, 2015	1189.3	1185.36	1192.1	1178.85	0.56%
Mar 20, 2015	1182.68	1170.2	1188.3	1168.05	0.97%
Mar 19, 2015	1171.3	1166.85	1177.86	1159.66	0.35%
Mar 18, 2015	1167.25	1148.75	1174.61	1145.4	1.56%
Mar 17, 2015	1149.3	1153.8	1159.85	1142.86	-0.46%
Mar 16, 2015	1154.59	1157.75	1164.46	1149.85	-0.42%
Mar 13, 2015	1159.48	1153.15	1162.55	1151.05	0.50%
Mar 12, 2015	1153.7	1154.2	1166.7	1148.5	-0.10%
Mar 11, 2015	1154.8	1161.4	1165.95	1147.1	-0.61%
Mar 10, 2015	1161.93	1166.35	1171.35	1155.6	-0.46%
Mar 09, 2015	1167.3	1167.9	1176.15	1165.4	0.01%
Mar 06, 2015	1167.21	1198.16	1201.29	1163.45	-2.62%
Mar 05, 2015	1198.6	1199.35	1209.7	1196	-0.10%
Mar 04, 2015	1199.85	1203.35	1209.4	1197.85	-0.33%
